Case ID,Activity,Complete Timestamp,Variant,Variant index,concept:name,lifecycle:transition,variant,variant-index,creator
60,Start,2023-02-21 12:00:00.000,Variant 7,7,Start,complete,Variant 7,7,Fluxicon Disco
60,Technician: Assign Productivity Level,2023-02-21 12:00:01.000,Variant 7,7,Technician: Assign Productivity Level,complete,Variant 7,7,Fluxicon Disco
60,Technician: Define Validity Conditions and Outlier Ranges,2023-02-21 12:00:02.000,Variant 7,7,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 7,7,Fluxicon Disco
60,Data Analyst: Configure Segregation System,2023-02-21 12:00:03.000,Variant 7,7,Data Analyst: Configure Segregation System,complete,Variant 7,7,Fluxicon Disco
60,Machine Learning Expert: Configure Development System,2023-02-21 12:00:04.000,Variant 7,7,Machine Learning Expert: Configure Development System,complete,Variant 7,7,Fluxicon Disco
60,Machine Learning Expert: Configure Execution System,2023-02-21 12:00:05.000,Variant 7,7,Machine Learning Expert: Configure Execution System,complete,Variant 7,7,Fluxicon Disco
60,Data Engineer: Configure Monitoring System,2023-02-21 12:00:06.000,Variant 7,7,Data Engineer: Configure Monitoring System,complete,Variant 7,7,Fluxicon Disco
60,Technician: Assign Productivity Level,2023-02-21 12:00:07.000,Variant 7,7,Technician: Assign Productivity Level,complete,Variant 7,7,Fluxicon Disco
60,Data Engineer: Evaluate Model Performance,2023-02-21 12:00:08.000,Variant 7,7,Data Engineer: Evaluate Model Performance,complete,Variant 7,7,Fluxicon Disco
60,Technician: Define Validity Conditions and Outlier Ranges,2023-02-21 12:00:09.000,Variant 7,7,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 7,7,Fluxicon Disco
60,Data Analyst: Configure Segregation System,2023-02-21 12:00:10.000,Variant 7,7,Data Analyst: Configure Segregation System,complete,Variant 7,7,Fluxicon Disco
60,Machine Learning Expert: Configure Development System,2023-02-21 12:00:11.000,Variant 7,7,Machine Learning Expert: Configure Development System,complete,Variant 7,7,Fluxicon Disco
60,Machine Learning Expert: Configure Execution System,2023-02-21 12:00:12.000,Variant 7,7,Machine Learning Expert: Configure Execution System,complete,Variant 7,7,Fluxicon Disco
60,Data Engineer: Configure Monitoring System,2023-02-21 12:00:13.000,Variant 7,7,Data Engineer: Configure Monitoring System,complete,Variant 7,7,Fluxicon Disco
60,End,2023-02-21 12:00:13.000,Variant 7,7,End,complete,Variant 7,7,Fluxicon Disco
61,Start,2023-02-21 12:10:00.000,Variant 10,10,Start,complete,Variant 10,10,Fluxicon Disco
