index,rank,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
0,Challenger,5,0,3,1,1,4,2,3.375,2865.990530924129,92338.57193052038,84,72.0,0.0,5637,1320,1.4200000000000002,19,2,2712.5,8,3,0,0,3
1,Challenger,5,1,2,1,2,3,2,4.25,3980.516609819371,96167.50653783036,104,75.0,23.7,12510,1847,1.3166666666666667,5,3,2018.75,7,5,1,2,0
2,Master,7,1,0,3,3,2,0,4.875,0.0,0.0,104,79.28571428571429,49.0,13902,2100,2.075,27,1,1925.0,8,2,2,0,0
3,Challenger,7,0,1,4,2,1,1,3.75,1389.3322250045658,35613.10637600717,104,77.14285714285714,0.0,6475,2068,1.4285714285714284,11,2,4175.0,8,6,0,0,1
4,Challenger,5,0,3,1,1,5,1,4.5,4049.013034927472,97445.53135651983,104,63.0,1.8666666666666665,11483,1688,1.7399999999999998,5,2,3056.25,8,4,1,2,1
5,Challenger,5,1,2,4,2,1,1,3.75,6926.808834698637,223387.46109204923,104,81.0,10.0,9713,3194,1.2833333333333332,8,1,2481.25,8,5,1,1,1
6,Challenger,6,0,2,1,0,2,5,4.125,5679.316645368803,169756.16055648416,88,65.0,0.0,9556,1708,1.8166666666666667,6,5,3925.0,8,3,0,0,2
7,Challenger,4,1,3,4,3,0,1,3.25,16145.426689943426,679649.4338481433,94,82.5,7.5,5720,2249,1.2399999999999998,7,0,3062.5,8,4,1,0,3
8,Challenger,7,0,1,1,2,3,2,4.125,28.105510388546673,273.386788948352,90,85.71428571428571,1.1,6987,2213,1.242857142857143,22,3,3025.0,8,4,0,1,0
9,Challenger,6,0,2,2,1,3,2,3.625,1657.145632120268,44361.12170257844,95,85.0,0.55,6010,1223,1.1666666666666667,13,3,2381.25,8,4,1,2,1
10,Master,5,1,2,3,2,2,1,3.25,6573.133277378315,252262.85348148132,104,84.0,12.0,7268,2613,1.5166666666666668,9,2,3162.5,8,5,1,1,1
11,Challenger,6,0,2,2,0,2,4,4.5,2231.0148119962037,72094.1842213983,86,67.5,4.0,10459,1717,1.683333333333333,7,4,3812.5,8,3,1,1,1
12,Challenger,6,0,2,2,4,1,1,3.875,2621.8347277428625,84703.03617030456,104,80.0,0.0,10330,2656,1.3499999999999999,9,1,2681.25,8,3,1,1,1
13,Challenger,5,0,3,3,1,2,2,3.375,6671.1812216931485,199058.6111327493,104,78.0,2.0,6012,2517,1.7000000000000004,9,2,3150.0,8,4,1,1,2
14,Challenger,3,2,3,1,3,2,2,4.25,2054.4459345777277,56953.43031978334,101,100.0,17.7,7176,1456,2.34,3,2,2937.5,8,5,0,1,2
15,Challenger,5,0,3,3,0,4,1,4.125,0.0,0.0,94,72.0,0.3333333333333333,6673,1103,1.2399999999999998,11,3,2100.0,7,4,2,2,2
16,Challenger,5,1,2,2,3,0,3,3.125,14905.283547476025,632775.8356415333,73,96.0,10.0,5190,1356,1.1833333333333333,7,2,2706.25,8,1,1,0,2
17,Challenger,7,0,1,2,2,3,1,4.125,0.0,0.0,104,85.71428571428571,1.0,7503,1452,1.2714285714285711,33,2,1868.75,8,4,2,1,0
18,Challenger,6,0,2,1,0,6,1,4.125,13546.328317522086,365933.830281594,92,67.5,4.0,8284,1567,1.2833333333333334,20,2,2987.5,8,4,0,1,1
19,Challenger,7,0,1,0,5,1,2,4.125,7666.959053809759,320453.6347355262,103,77.14285714285714,0.0,12744,2942,1.4285714285714286,21,1,2487.5,8,2,1,0,1
20,Challenger,5,1,2,0,4,2,2,4.125,2206.733511473965,99574.94636102748,103,72.0,12.0,8934,2359,1.1333333333333335,5,3,4187.5,8,6,1,1,1
21,Challenger,5,1,2,3,3,1,1,4.25,2206.733511473965,99574.94636102748,95,84.0,10.0,8609,2430,1.4166666666666667,6,2,3212.5,8,5,1,0,2
22,Challenger,7,0,1,1,2,2,3,4.0,0.0,0.0,77,75.0,1.0,4532,2598,1.8714285714285714,26,3,3268.75,8,4,1,1,0
23,Challenger,4,1,3,3,2,1,2,3.25,53694.568866490736,1497170.5011039719,87,90.0,7.5,4087,2407,1.2,8,2,3325.0,8,4,0,0,3
