index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles,winner
0,Fun Deck,3,6,0,2,0,1,4,3,3.25,0.8655692729766804,11.411592260734086,67,70.0,3.0,3922,1165,1.2333333333333334,20,4,2712.5,8,3,1,1,1,True
1,Challenger,2,5,0,3,1,1,4,2,3.375,0.0,0.0,84,72.0,0.0,5637,1320,1.4200000000000002,19,2,2712.5,8,3,0,0,3,True
2,Challenger,1,5,1,2,1,2,3,2,4.25,22.712827620121388,267.7779341615366,104,75.0,23.7,12510,1847,1.3166666666666667,5,3,2018.75,7,5,1,2,0,True
3,Master,1,7,1,0,3,3,2,0,4.875,0.0,0.0,104,79.28571428571429,49.0,13902,2100,2.075,27,1,1925.0,8,2,2,0,0,True
4,Challenger,1,7,0,1,4,2,1,1,3.75,0.0,0.0,104,77.14285714285714,0.0,6475,2068,1.4285714285714284,11,2,4175.0,8,6,0,0,1,True
5,Challenger,3,5,0,3,1,1,5,1,4.5,23.16992546115186,294.4164928024373,104,63.0,1.8666666666666665,11483,1688,1.7399999999999998,5,2,3056.25,8,4,1,2,1,True
6,Challenger,1,5,1,2,4,2,1,1,3.75,4.146951073578637,41.75386280574802,104,81.0,10.0,9713,3194,1.2833333333333332,8,1,2481.25,8,5,1,1,1,True
7,Challenger,1,6,0,2,1,0,2,5,4.125,0.0,0.0,88,65.0,0.0,9556,1708,1.8166666666666667,6,5,3925.0,8,3,0,0,2,True
8,Challenger,1,4,1,3,4,3,0,1,3.25,136.99334855482368,5630.770795223518,94,82.5,7.5,5720,2037,1.2399999999999998,7,0,3062.5,8,4,1,0,3,True
9,Challenger,3,7,0,1,1,2,3,2,4.125,0.0,0.0,90,85.71428571428571,1.1,6987,2213,1.242857142857143,22,3,3025.0,8,4,0,1,0,True
10,Challenger,2,6,0,2,2,1,3,2,3.625,3.4971594090311022,39.64216499395586,95,85.0,0.55,6010,1223,1.1666666666666667,13,3,2381.25,8,4,1,2,1,True
11,Master,1,5,1,2,3,2,2,1,3.25,2.576953810703715,11.358860735954027,104,84.0,12.0,7268,2613,1.5166666666666668,9,2,3162.5,8,5,1,1,1,True
12,Challenger,3,6,0,2,2,0,2,4,4.5,0.0,0.0,86,67.5,4.0,10459,1717,1.683333333333333,7,4,3812.5,8,3,1,1,1,True
13,Challenger,3,6,0,2,2,4,1,1,3.875,0.0,0.0,104,80.0,0.0,10330,2656,1.3499999999999999,9,1,2681.25,8,3,1,1,1,True
14,Challenger,3,5,0,3,3,1,2,2,3.375,0.8072727272727273,5.06127101738387,104,78.0,2.0,6012,2517,1.7000000000000004,9,2,3150.0,8,4,1,1,2,True
15,Challenger,1,3,2,3,1,3,2,2,4.25,0.0,0.0,101,100.0,17.7,7176,1456,2.34,3,2,2937.5,8,5,0,1,2,True
16,Challenger,3,5,0,3,3,0,4,1,4.125,0.0,0.0,94,72.0,0.3333333333333333,6673,1103,1.2399999999999998,11,3,2100.0,7,4,2,2,2,True
17,Challenger,2,5,1,2,2,3,0,3,3.125,12.584080930926298,226.7136399494637,73,96.0,10.0,5190,1172,1.1833333333333333,7,2,2706.25,8,1,1,0,2,True
18,Challenger,3,7,0,1,2,2,3,1,4.125,0.0,0.0,104,85.71428571428571,1.0,7503,1452,1.2714285714285711,33,2,1868.75,8,4,2,1,0,True
