index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
0,Fun Deck,3,6,0,2,0,1,4,3,3.25,1117.6393115803144,31655.633070878168,112,70.0,3.0,6595,1919,1.2333333333333334,20,4,2712.5,8,3,1,1,1
1,Competitive,2,5,0,3,1,1,4,2,3.375,2865.990530924129,92338.57193052038,112,72.0,0.0,7845,1859,1.4200000000000002,19,2,2712.5,8,3,0,0,3
2,Competitive,1,5,1,2,1,2,3,2,4.25,3980.516609819371,96167.50653783036,112,75.0,23.7,13734,2028,1.3166666666666667,5,3,2018.75,7,5,1,2,0
3,Competitive,1,7,1,0,3,3,2,0,4.875,0.0,0.0,112,79.28571428571429,49.0,15260,2305,2.075,27,1,1925.0,8,2,2,0,0
4,Competitive,1,7,0,1,4,2,1,1,3.75,1389.3322250045658,35613.10637600717,112,77.14285714285714,0.0,7107,2267,1.4285714285714284,11,2,4175.0,8,6,0,0,1
5,Competitive,3,5,0,3,1,1,5,1,4.5,4049.013034927472,97445.53135651983,112,63.0,1.8666666666666665,12610,1854,1.7399999999999998,5,2,3056.25,8,4,1,2,1
6,Competitive,1,5,1,2,4,2,1,1,3.75,6926.808834698637,223387.46109204923,112,81.0,10.0,10663,3507,1.2833333333333332,8,1,2481.25,8,5,1,1,1
7,Competitive,1,6,0,2,1,0,2,5,4.125,5679.316645368803,169756.16055648416,112,65.0,0.0,12245,2245,1.8166666666666667,6,5,3925.0,8,3,0,0,2
8,Competitive,1,4,1,3,4,3,0,1,3.25,16145.426689943426,679649.4338481433,112,82.5,7.5,6783,2792,1.2399999999999998,7,0,3062.5,8,4,1,0,3
9,Competitive,3,7,0,1,1,2,3,2,4.125,28.105510388546673,273.386788948352,112,85.71428571428571,1.1,8894,2773,1.242857142857143,22,3,3025.0,8,4,0,1,0
10,Competitive,2,6,0,2,2,1,3,2,3.625,1657.145632120268,44361.12170257844,112,85.0,0.55,7457,1518,1.1666666666666667,13,3,2381.25,8,4,1,2,1
11,Competitive,1,5,1,2,3,2,2,1,3.25,6573.133277378315,252262.85348148132,112,84.0,12.0,7978,2869,1.5166666666666668,9,2,3162.5,8,5,1,1,1
12,Competitive,3,6,0,2,2,0,2,4,4.5,2231.0148119962037,72094.1842213983,112,67.5,4.0,14179,2311,1.683333333333333,7,4,3812.5,8,3,1,1,1
13,Competitive,3,6,0,2,2,4,1,1,3.875,2621.8347277428625,84703.03617030456,112,80.0,0.0,11340,2915,1.3499999999999999,9,1,2681.25,8,3,1,1,1
14,Competitive,3,5,0,3,3,1,2,2,3.375,6671.1812216931485,199058.6111327493,112,78.0,2.0,6598,2762,1.7000000000000004,9,2,3150.0,8,4,1,1,2
15,Competitive,1,3,2,3,1,3,2,2,4.25,2054.4459345777277,56953.43031978334,112,100.0,17.7,8110,1638,2.34,3,2,2937.5,8,5,0,1,2
16,Competitive,3,5,0,3,3,0,4,1,4.125,0.0,0.0,112,72.0,0.3333333333333333,8355,1339,1.2399999999999998,11,3,2100.0,7,4,2,2,2
17,Competitive,2,5,1,2,2,3,0,3,3.125,14905.283547476025,632775.8356415333,112,96.0,10.0,8005,2073,1.1833333333333333,7,2,2706.25,8,1,1,0,2
18,Competitive,3,7,0,1,2,2,3,1,4.125,0.0,0.0,112,85.71428571428571,1.0,8237,1595,1.2714285714285711,33,2,1868.75,8,4,2,1,0
19,Competitive,3,6,0,2,1,0,6,1,4.125,13546.328317522086,365933.830281594,112,67.5,4.0,10636,2023,1.2833333333333334,20,2,2987.5,8,4,0,1,1
20,Competitive,3,7,0,1,0,5,1,2,4.125,7666.959053809759,320453.6347355262,112,77.14285714285714,0.0,13991,3239,1.4285714285714286,21,1,2487.5,8,2,1,0,1
21,Competitive,3,5,1,2,0,4,2,2,4.125,2206.733511473965,99574.94636102748,112,72.0,12.0,9805,2588,1.1333333333333335,5,3,4187.5,8,6,1,1,1
22,Competitive,1,5,1,2,3,3,1,1,4.25,2206.733511473965,99574.94636102748,112,84.0,10.0,10244,2986,1.4166666666666667,6,2,3212.5,8,5,1,0,2
23,Competitive,3,7,0,1,1,2,2,3,4.0,0.0,0.0,112,75.0,1.0,6637,3811,1.8714285714285714,26,3,3268.75,8,4,1,1,0
24,Fun Deck,3,7,0,1,1,2,2,3,3.375,8439.592038788327,215403.9058076619,112,77.14285714285714,0.0,8311,2199,1.0714285714285716,8,4,2268.75,8,2,2,0,1
25,Competitive,1,4,1,3,3,2,1,2,3.25,53694.568866490736,1497170.5011039719,112,90.0,7.5,5441,3202,1.2,8,2,3325.0,8,4,0,0,3
26,Competitive,1,5,1,2,3,1,2,2,2.75,7157.342842158856,200900.7756289367,112,102.0,12.666666666666666,6326,1937,1.3666666666666665,12,1,2812.5,8,3,1,1,1
27,Competitive,2,6,0,2,1,1,4,2,4.625,1035.9971937802788,23637.168594485276,112,62.5,0.0,15525,4157,1.4333333333333333,6,4,2081.25,8,5,1,1,1
28,Competitive,3,6,1,1,1,3,2,2,3.75,0.0,0.0,112,85.0,20.0,9202,2050,2.3857142857142857,24,2,1612.5,8,3,0,0,1
29,Competitive,1,5,1,2,2,3,1,2,3.5,0.0,0.0,112,90.0,6.666666666666667,8556,2470,2.716666666666667,8,3,3162.5,8,5,1,1,2
30,Competitive,3,6,1,1,1,3,2,2,4.25,28.105510388546673,273.386788948352,112,85.0,20.0,12912,2433,2.585714285714286,8,3,1912.5,8,4,0,0,1
31,Competitive,1,5,1,2,1,1,2,4,4.0,12076.796736062652,326587.40871681407,112,81.0,16.0,11179,2424,3.0833333333333335,6,3,2437.5,8,3,0,1,1
32,Competitive,3,5,0,3,0,2,1,5,4.0,6776.048924175228,233527.9858055159,112,78.0,0.0,11265,2648,1.38,5,4,2875.0,8,3,0,0,3
33,Competitive,2,7,0,1,4,0,2,2,3.625,0.8882978723404256,8.070194816850071,112,79.28571428571429,0.0,13309,2266,1.6428571428571428,11,3,2675.0,8,4,1,1,0
34,Competitive,3,7,0,1,1,0,4,3,4.5,0.0,0.0,112,62.142857142857146,6.0,16758,2885,1.4714285714285715,21,5,2987.5,8,3,2,1,0
35,Competitive,1,5,1,2,1,1,4,2,3.875,3732.5299666559677,104619.7842145214,112,69.0,9.333333333333334,11648,3179,3.0,5,2,2762.5,8,4,0,2,1
36,Competitive,1,5,1,2,4,2,1,1,2.875,2181.6804531335824,52962.70738890659,112,102.0,10.0,6326,2628,1.366666666666667,12,1,2700.0,8,4,1,0,2
37,Competitive,1,3,2,3,3,1,2,2,3.5,23187.73568882964,761936.4509992516,112,70.0,12.22,6869,3206,1.06,5,1,4450.0,8,4,0,1,2
38,Competitive,2,5,1,2,2,4,1,1,3.625,0.0,0.0,112,90.0,11.0,9270,2503,1.45,7,1,2800.0,8,3,1,1,1
39,Competitive,3,6,0,2,3,2,1,2,3.625,2934.253906982434,77939.45194606858,112,62.5,0.0,10839,2508,1.5166666666666666,6,3,3487.5,8,5,1,1,1
40,Competitive,2,7,0,1,2,2,2,2,3.75,2314.4010455908824,73885.21913807227,112,85.71428571428571,0.0,9348,3216,1.3857142857142855,11,2,2625.0,8,2,0,0,1
41,Competitive,2,4,1,3,3,2,1,2,3.25,53694.56886648992,1497170.5011039376,112,90.0,7.5,5441,3202,1.2,8,2,3325.0,8,4,0,0,3
42,Competitive,1,5,1,2,1,2,1,4,3.625,7749.770495584059,256878.63575753738,112,66.0,13.333333333333334,8886,2166,2.6,5,4,2912.5,8,4,0,0,2
43,Competitive,1,3,1,4,1,4,2,1,4.375,3777.9301304306123,141160.34868379094,112,75.0,12.6,9533,3194,2.95,3,0,2437.5,8,5,1,2,1
44,Competitive,1,5,1,2,3,4,0,1,2.625,78921.74504339736,3243635.4221487334,112,87.0,10.0,6389,2653,1.2333333333333334,7,2,2806.25,8,4,2,0,2
45,Competitive,1,6,0,2,2,3,2,1,4.0,2269.2796560750135,102750.02960483983,112,72.5,0.0,10600,4840,1.8166666666666667,12,2,2550.0,8,4,1,1,1
46,Competitive,3,6,0,2,3,4,0,1,3.25,28.105510388546673,273.386788948352,112,100.0,0.0,6996,3810,1.0166666666666666,7,3,1787.5,8,5,0,1,1
47,Competitive,3,3,1,4,4,1,1,2,3.125,37865.79759690604,1119372.1444498994,112,80.0,6.0,4381,3454,1.4,3,2,3700.0,8,5,0,0,4
48,Fun Deck,3,6,0,2,4,3,1,0,3.375,2287.246809243141,102951.2584160917,112,72.5,0.0,9536,2764,1.2,10,0,2750.0,8,5,2,0,2
49,Competitive,1,4,2,2,5,1,1,1,3.0,34409.273469519794,1256494.155553698,112,82.5,15.0,6667,2319,0.8500000000000001,7,1,4075.0,8,4,0,0,2
50,Competitive,3,8,0,0,0,2,4,2,4.25,0.0,0.0,112,63.75,0.0,12145,4398,1.8125,22,5,2950.0,8,3,2,0,0
51,Competitive,1,5,1,2,2,1,4,1,3.267857142857143,5693.125333105167,130083.59115151735,112,78.0,10.0,6805,1330,1.45,15,2,2556.25,7,2,2,1,2
