,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'26000048', '26000015'})",frozenset({'26000009'}),0.03645,0.07585,0.03155,0.8655692729766804,11.411592260734086,0.028785267500000003,6.874544387755103
1,"frozenset({'26000048', '28000012'})",frozenset({'26000009'}),0.024,0.07585,0.02115,0.88125,11.618325642715886,0.0193296,7.782315789473683
2,"frozenset({'26000009', '28000012'})",frozenset({'26000048'}),0.02595,0.07005,0.02115,0.8150289017341039,11.634959339530392,0.0193322025,5.027542187499996
3,"frozenset({'26000048', '28000012'})",frozenset({'26000015'}),0.024,0.1898,0.0196,0.8166666666666667,4.3027748507200565,0.0150448,4.419272727272727
4,"frozenset({'26000048', '26000009', '28000012'})",frozenset({'26000015'}),0.02115,0.1898,0.0183,0.8652482269503546,4.558736706798497,0.01428573,6.0125368421052645
5,"frozenset({'26000048', '28000012', '26000015'})",frozenset({'26000009'}),0.0196,0.07585,0.0183,0.9336734693877552,12.30947223978583,0.01681334,13.933338461538481
6,"frozenset({'26000009', '28000012', '26000015'})",frozenset({'26000048'}),0.0215,0.07005,0.0183,0.8511627906976745,12.150789303321549,0.016793925,6.248101562500005
7,"frozenset({'28000007', '26000048', '28000012'})",frozenset({'26000009'}),0.0166,0.07585,0.01625,0.9789156626506025,12.905941498359953,0.01499089,43.831114285714435
8,"frozenset({'28000007', '26000009', '28000012'})",frozenset({'26000048'}),0.0169,0.07005,0.01625,0.9615384615384617,13.726459122604735,0.015066155000000001,24.178700000000088
9,"frozenset({'28000007', '26000048', '28000012'})",frozenset({'26000015'}),0.0166,0.1898,0.015,0.9036144578313252,4.760877017024896,0.01184932,8.405824999999993
10,"frozenset({'28000007', '28000012', '26000015'})",frozenset({'26000048'}),0.01755,0.07005,0.015,0.8547008547008547,12.201296997870873,0.0137706225,6.400244117647057
11,"frozenset({'26000048', '26000009', '28000012', '26000015'})",frozenset({'28000007'}),0.0183,0.0775,0.01475,0.8060109289617485,10.400141018861271,0.01333175,4.755422535211265
12,"frozenset({'28000007', '26000009', '28000012', '26000015'})",frozenset({'26000048'}),0.01495,0.07005,0.01475,0.9866220735785953,14.084540664933552,0.013702752499999998,69.51376250000006
13,"frozenset({'28000007', '26000048', '26000009', '28000012'})",frozenset({'26000015'}),0.01625,0.1898,0.01475,0.9076923076923076,4.782362000486342,0.011665749999999999,8.777166666666655
14,"frozenset({'28000007', '26000048', '28000012', '26000015'})",frozenset({'26000009'}),0.015,0.07585,0.01475,0.9833333333333333,12.964183695891013,0.01361225,55.44899999999983
15,"frozenset({'28000007', '26000009', '28000012'})","frozenset({'26000048', '26000015'})",0.0169,0.03645,0.01475,0.8727810650887574,23.944610839197733,0.014133995,7.573951162790698
16,"frozenset({'28000007', '28000012', '26000015'})","frozenset({'26000048', '26000009'})",0.01755,0.04475,0.01475,0.8404558404558404,18.781136099571853,0.0139646375,5.987370535714285
17,"frozenset({'28000007', '26000048', '28000012'})","frozenset({'26000009', '26000015'})",0.0166,0.0411,0.01475,0.8885542168674698,21.619324011373962,0.014067739999999999,8.60418378378378
18,"frozenset({'26000048', '26000035'})",frozenset({'26000009'}),0.01505,0.07585,0.01205,0.8006644518272426,10.555892575177884,0.0109084575,4.636152500000001
19,"frozenset({'28000007', '26000048'})",frozenset({'26000009'}),0.0285,0.07585,0.02705,0.9491228070175438,12.513155003527276,0.024888275,18.16432758620688
20,"frozenset({'28000007', '26000009'})",frozenset({'26000048'}),0.0307,0.07005,0.02705,0.8811074918566775,12.578265408375124,0.024899465000000003,7.821771232876709
21,"frozenset({'28000007', '26000048', '26000009'})",frozenset({'26000015'}),0.02705,0.1898,0.02235,0.8262476894639555,4.353254422887016,0.017215909999999997,4.662959574468083
22,"frozenset({'28000007', '26000048', '26000015'})",frozenset({'26000009'}),0.0227,0.07585,0.02235,0.9845814977973567,12.98063939086825,0.020628204999999997,59.93772857142811
23,"frozenset({'28000007', '26000009', '26000015'})",frozenset({'26000048'}),0.0235,0.07005,0.02235,0.9510638297872339,13.576928333864867,0.020703825,19.003326086956474
24,"frozenset({'26000048', '26000018'})",frozenset({'26000009'}),0.01455,0.07585,0.0124,0.852233676975945,11.235776888278773,0.0112963825,6.254131395348836
25,"frozenset({'28000015', '26000048'})",frozenset({'26000009'}),0.0172,0.07585,0.01525,0.8866279069767442,11.689227514525303,0.01394538,8.151476923076924
26,"frozenset({'28000015', '26000048'})",frozenset({'26000015'}),0.0172,0.1898,0.01475,0.8575581395348837,4.518219913250178,0.01148544,5.68793469387755
27,"frozenset({'28000015', '26000048', '26000009'})",frozenset({'26000015'}),0.01525,0.1898,0.0139,0.9114754098360656,4.802294045500872,0.01100555,9.152259259259258
28,"frozenset({'28000015', '26000048', '26000015'})",frozenset({'26000009'}),0.01475,0.07585,0.0139,0.9423728813559322,12.42416455314347,0.0127812125,16.0367205882353
29,"frozenset({'28000015', '26000009', '26000015'})",frozenset({'26000048'}),0.01685,0.07005,0.0139,0.8249258160237388,11.77624291254445,0.012719657499999999,5.311748305084745
30,"frozenset({'28000015', '26000048'})","frozenset({'26000009', '26000015'})",0.0172,0.0411,0.0139,0.8081395348837209,19.66276240592995,0.01319308,4.99790303030303
31,"frozenset({'28000015', '26000048', '26000009'})",frozenset({'28000012'}),0.01525,0.09925,0.01245,0.8163934426229508,8.225626625923937,0.0109364375,4.905870535714284
32,"frozenset({'28000015', '26000048', '28000012'})",frozenset({'26000009'}),0.01305,0.07585,0.01245,0.954022988505747,12.577758582804838,0.011460157499999998,20.10026249999993
33,"frozenset({'28000015', '26000009', '28000012'})",frozenset({'26000048'}),0.01545,0.07005,0.01245,0.8058252427184466,11.503572344303306,0.011367727499999999,4.789242499999999
34,"frozenset({'28000015', '26000048', '28000012'})",frozenset({'26000015'}),0.01305,0.1898,0.01205,0.9233716475095785,4.864971799312848,0.00957311,10.573109999999987
35,"frozenset({'28000015', '26000048', '26000015'})",frozenset({'28000012'}),0.01475,0.09925,0.01205,0.8169491525423729,8.23122571831106,0.0105860625,4.920763888888889
36,"frozenset({'28000015', '26000009', '28000012', '26000015'})",frozenset({'26000048'}),0.0142,0.07005,0.0117,0.823943661971831,11.762222155201014,0.010705290000000001,5.282116
37,"frozenset({'28000015', '26000048', '26000009', '28000012'})",frozenset({'26000015'}),0.01245,0.1898,0.0117,0.9397590361445783,4.951312097705892,0.00933699,13.449320000000007
38,"frozenset({'28000015', '26000048', '28000012', '26000015'})",frozenset({'26000009'}),0.01205,0.07585,0.0117,0.970954356846473,12.800980314389887,0.0107860075,31.817164285714277
39,"frozenset({'28000015', '26000048', '26000009', '26000015'})",frozenset({'28000012'}),0.0139,0.09925,0.0117,0.8417266187050361,8.480872732544444,0.010320425000000001,5.691102272727276
40,"frozenset({'28000015', '26000048', '28000012'})","frozenset({'26000009', '26000015'})",0.01305,0.0411,0.0117,0.896551724137931,21.813910562966694,0.011163645,9.269366666666668
41,"frozenset({'28000007', '28000015', '26000048'})",frozenset({'26000009'}),0.0128,0.07585,0.0125,0.9765625,12.874917600527356,0.01152912,39.4304
42,"frozenset({'28000007', '28000015', '26000009'})",frozenset({'26000048'}),0.01295,0.07005,0.0125,0.9652509652509653,13.779457034275023,0.0115928525,26.7618944444445
43,"frozenset({'28000015', '26000048', '26000009'})",frozenset({'28000007'}),0.01525,0.0775,0.0125,0.819672131147541,10.576414595452142,0.011318125,5.115681818181819
44,"frozenset({'28000007', '28000015', '26000048'})",frozenset({'26000015'}),0.0128,0.1898,0.012,0.9375,4.93940990516333,0.00957056,12.9632
45,"frozenset({'28000015', '26000048', '26000015'})",frozenset({'28000007'}),0.01475,0.0775,0.012,0.8135593220338984,10.497539639147076,0.010856875,4.947954545454547
46,"frozenset({'28000007', '28000015', '26000048'})",frozenset({'28000012'}),0.0128,0.09925,0.01085,0.84765625,8.540617128463476,0.0095796,5.912615384615385
47,"frozenset({'28000007', '28000015', '28000012'})",frozenset({'26000048'}),0.0129,0.07005,0.01085,0.8410852713178295,12.006927499183861,0.009946355,5.8518804878048805
48,"frozenset({'28000015', '26000048', '28000012'})",frozenset({'28000007'}),0.01305,0.0775,0.01085,0.8314176245210728,10.727969348659004,0.009838625,5.472102272727273
49,"frozenset({'28000015', '26000048', '26000009', '26000015'})",frozenset({'28000007'}),0.0139,0.0775,0.0118,0.8489208633093526,10.95381759108842,0.01072275,6.106071428571431
50,"frozenset({'28000007', '28000015', '26000009', '26000015'})",frozenset({'26000048'}),0.0121,0.07005,0.0118,0.9752066115702479,13.921579037405394,0.010952395,37.50798333333329
51,"frozenset({'28000007', '28000015', '26000048', '26000009'})",frozenset({'26000015'}),0.0125,0.1898,0.0118,0.944,4.973656480505795,0.0094275,14.467857142857131
52,"frozenset({'28000007', '28000015', '26000048', '26000015'})",frozenset({'26000009'}),0.012,0.07585,0.0118,0.9833333333333333,12.964183695891013,0.0108898,55.44899999999983
53,"frozenset({'28000007', '28000015', '26000009'})","frozenset({'26000048', '26000015'})",0.01295,0.03645,0.0118,0.9111969111969112,24.998543517062032,0.0113279725,10.850410869565213
54,"frozenset({'28000015', '26000048', '26000015'})","frozenset({'28000007', '26000009'})",0.01475,0.0307,0.0118,0.8,26.058631921824105,0.011347175,4.846500000000002
55,"frozenset({'28000007', '28000015', '26000048'})","frozenset({'26000009', '26000015'})",0.0128,0.0411,0.0118,0.9218749999999999,22.430048661800484,0.01127392,12.273919999999983
56,"frozenset({'28000015', '26000048', '26000009', '28000012'})",frozenset({'28000007'}),0.01245,0.0775,0.01065,0.8554216867469879,11.037699183832103,0.009685125,6.380624999999999
57,"frozenset({'28000007', '28000015', '26000009', '28000012'})",frozenset({'26000048'}),0.01085,0.07005,0.01065,0.9815668202764977,14.01237430801567,0.0098899575,50.449787499999914
58,"frozenset({'28000007', '28000015', '26000048', '26000009'})",frozenset({'28000012'}),0.0125,0.09925,0.01065,0.852,8.584382871536523,0.009409375,6.086148648648647
59,"frozenset({'28000007', '28000015', '26000048', '28000012'})",frozenset({'26000009'}),0.01085,0.07585,0.01065,0.9815668202764977,12.94089413680287,0.0098270275,50.135137499999914
60,"frozenset({'28000007', '28000015', '26000009'})","frozenset({'26000048', '28000012'})",0.01295,0.024,0.01065,0.8223938223938224,34.26640926640927,0.0103392,5.495304347826088
61,"frozenset({'28000015', '26000048', '28000012'})","frozenset({'28000007', '26000009'})",0.01305,0.0307,0.01065,0.8160919540229884,26.582799805309065,0.010249365,5.270568749999997
62,"frozenset({'28000007', '28000015', '28000012'})","frozenset({'26000048', '26000009'})",0.0129,0.04475,0.01065,0.8255813953488372,18.448746264778485,0.010072725,5.476766666666667
63,"frozenset({'28000007', '28000015', '26000048'})","frozenset({'26000009', '28000012'})",0.0128,0.02595,0.01065,0.8320312499999999,32.0628612716763,0.01031784,5.798995348837205
64,"frozenset({'28000015', '26000048', '28000012', '26000015'})",frozenset({'28000007'}),0.01205,0.0775,0.01035,0.8589211618257261,11.082853700977111,0.009416125,6.538897058823527
65,"frozenset({'28000007', '28000015', '28000012', '26000015'})",frozenset({'26000048'}),0.01225,0.07005,0.01035,0.8448979591836734,12.061355591487128,0.0094918875,5.995730263157892
66,"frozenset({'28000007', '28000015', '26000048', '28000012'})",frozenset({'26000015'}),0.01085,0.1898,0.01035,0.9539170506912442,5.0259064841477565,0.00829067,17.581339999999994
67,"frozenset({'28000007', '28000015', '26000048', '26000015'})",frozenset({'28000012'}),0.012,0.09925,0.01035,0.8624999999999999,8.690176322418134,0.009159,6.550909090909087
68,"frozenset({'28000007', '28000015', '28000012'})","frozenset({'26000048', '26000015'})",0.0129,0.03645,0.01035,0.8023255813953488,22.011675758445783,0.009879795,4.874429411764705
69,"frozenset({'28000007', '28000015', '26000048'})","frozenset({'28000012', '26000015'})",0.0128,0.0463,0.01035,0.80859375,17.464227861771057,0.00975736,4.9825959183673465
70,"frozenset({'28000012', '26000009', '26000015', '26000048', '28000015'})",frozenset({'28000007'}),0.0117,0.0775,0.01015,0.8675213675213674,11.193824097049902,0.00924325,6.963387096774189
